Trimestre,Región,Crecimiento
2022-10-01,Ucayali,0.38585209
2023-01-01,Ucayali,-4.663923182
2023-04-01,Ucayali,-2.06185567
2023-07-01,Ucayali,-0.125
2017-01-01,Perú,2.238688375
2017-04-01,Perú,2.915083783
2017-07-01,Perú,2.875714198
2017-10-01,Perú,2.559989364
2018-01-01,Perú,2.985418621
2018-04-01,Perú,5.323681328
2018-07-01,Perú,2.589306761
2018-10-01,Perú,4.882857322
2019-01-01,Perú,2.486967222
2019-04-01,Perú,1.311535163
2019-07-01,Perú,3.175097555
2019-10-01,Perú,2.007597063
2020-01-01,Perú,-3.384785333
2020-04-01,Perú,-29.20054746
2020-07-01,Perú,-8.924365821
2020-10-01,Perú,-1.421759347
2021-01-01,Perú,4.281892729
2021-04-01,Perú,40.23046608
2021-07-01,Perú,11.56991092
2021-10-01,Perú,2.936827544
2022-01-01,Perú,3.985428476
2022-04-01,Perú,3.407204024
2022-07-01,Perú,1.783195233
2022-10-01,Perú,1.982579858
2023-01-01,Perú,-0.108730792
2023-04-01,Perú,-0.324151591
2023-07-01,Perú,-0.886028053
